,Compact (V.6.0),Compact v2021,Comfort (V.6.0),Comfort V2021,Comfort+ (V6.0),Comfort+ v2021,AVB
Generelle Informationen, ,,,,,,
Deckungssumme,10 Mio. €,10 Mio. €,25 Mio. €,25 Mio. €,50 Mio. €,50 Mio. €,
Generelle Selbstbeteiligung,"0, 150, 300, 500,1000","0, 150, 300, 500,1000","0, 150, 300, 500,1000","0, 150, 300, 500,1000","0, 150, 300, 500,1000","0, 150, 300, 500,1000",
Kündigungsfrist des Tarifs,monatlich kündbar,monatlich kündbar,monatlich kündbar,monatlich kündbar,monatlich kündbar,monatlich kündbar,? RÜ Legal
Leistungsgarantie nach GDV-Musterbedingungen,ja,ja,ja,ja,ja,ja,A1
Deckungssumme und Fristen,,,,,,,
Deckungssumme für Sachschäden,VS,VS,VS,VS,VS,VS,A.2.6.2
Deckungssumme für Personenschäden,"min(VS, 15 Mio)",VS,VS,VS,VS,VS,A.2.6.2
Maximal ausgezahlter Betrag je Person,VS,VS,15 Mio,15 Mio,15 Mio,15 Mio,A.2.6.2
Deckungssumme für Vermögensschäden,VS,VS,VS,VS,VS,VS,A.2.6.2
Leistungsverbesserungen & Garantien,,,,,,,
Leistungsgarantie nach GDV-Musterbedingungen,ja,ja,ja,ja,ja,ja,A1
Bestleistungs-Garantie,nein,nein,nein,nein,nein,nein,-
Künftige Leistungsverbesserungen gelten automatisch (Bedingungsupdate),nein,ja,ja,ja,ja,ja,A.2.11.19
Vorsorgeversicherung (Personen- und Sachschäden),5 Mio. €,5 Mio. €,5 Mio. €,VS,VS (Personenschäden 15 Mio),VS,A.2.5.3
Vorsorgeversicherung (Vermögensschäden),300.000 €,300.000 €,300.000 €,VS,10 Mio. €,VS,A.2.5.3
Versicherte Personen,,,,,,,
Versicherungsnehmer,VS,VS,VS,VS,VS,VS,A.3.1
Beim Versicherungsnehmer lebende Ehe-/Lebenspartner,wenn ausgewählt,wenn ausgewählt,wenn ausgewählt,wenn ausgewählt,wenn ausgewählt,wenn ausgewählt,A.3.1a
Schäden durch deliktunfähige Kinder,25.000 € (wenn gewählt),25.000 € (wenn gewählt),25.000 € (wenn gewählt),25.000 € (wenn gewählt),25.000 € (wenn gewählt),50.000€ (wenn gewählt),A.2.9.8d
Kinder unter 18 Jahren,VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),A.3.1b
Kinder bis zum Abschluss der Erstausbildung/des Erststudiums,VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),VS (wenn gewählt),A.3.1b
Alleinstehendes Elternteil im Haushalt,nein,nein,VS,VS,VS,VS,A.3.1f
Vorübergehend im Haushalt lebende minderjährige Personen,nein,nein,VS,ja,ja,ja,A.2.11.8
Ausfalldeckung,,,,,,,
Forderungsausfalldeckung,nein,VS,VS,VS,VS ,VS ,A.2.11
Rechtsschutz zur Geltendmachung des Anspruchs,nein,nein,"150,000 €","150,000 €",500.000 €,500.000 €,A.2.9.1
Auslandsaufenthalte,,,,,,,
europaweit versichert,12 Monate,unbegrenzt,unbegrenzt,unbegrenzt,ohne zeitliche Begrenzung,ohne zeitliche Begrenzung,A.2.9.11
weltweit versichert,nein,60 Monate,maximal 60 Monate,maximal 60 Monate,ohne Beschränkung,ohne Beschränkung,A.2.9.11
Kaution Europa,nein,nein,nein,"50,000 €",100.000 €,100.000 €,A.2.12.1
Kaution Weltweit,nein,nein,nein,"50,000 €",100.000 €,100.000 €,A.2.12.1
Mallorca Deckung,nein,nein,nein,nein,nein,nein,-
Weitere Leistungen,,,,,,,
Regressansprüche des Sozialversicherungsträgers (X-Liability),nein,nein,VS,VS,VS,VS,A.2.11.16
Allgemeine Gleichbehandlungs Klausel (stylistisch),ja,ja,ja,ja,ja,ja,-
Personenschäden der versicherten Personen untereinander,nein,nein,nein,nein,ja,ja,A.2.12.2
Persönlichkeits- und Namensrechtsverletzungen,nein,nein,nein,ja,ja,ja,A.2.11.15
Neuwert,nein,nein,nein,nein,bis 3.000 Euro Schaden,"5,000 €",A.2.12.3
"Opferhilfe (nur Geldzahlung, falls Forderungsadressat nicht ermittelt werden kann)",nein,nein,nein,nein,ja,ja,A.2.12.4
Mitversicherte Tätigkeiten,,,,,,,
Unbezahlte Hilfeleistung (Gefälligkeitsdienste),nein,nein,25.000 €,"50,000 €",50.000 €,VS,A.2.11.1
"Selbstständige, nebenberufliche Tätigkeit bis zu einem Jahresumsatz von",nein,nein,"5,000 €","5,000 €",10.000 €,"12,000 €",A.2.11.2d
Ehrenamtliche Tätigkeiten,VS,VS,VS,VS,VS,VS,A.2.10.2
Tätigkeiten als Tagesmutter/-vater bzw. als Babysitter,nein,nein,VS (nicht gewerbsmäßig),VS (nicht gewerbsmäßig),"VS, auch gewerbsmäßig bis 18.000 € Umsatz p.a.","VS, auch gewerbsmäßig bis 18.000 € Umsatz p.a.",A.2.12.6 & A.2.11.3
Fachpraktischer Unterricht / Betriebspraktika (nicht gewerbsmäßig),nein,nein,"25,000 €",VS,VS,VS,A.2.11.4
Notfallhelfer,nein,nein,nein,nein,VS,VS,A.2.12.8
Selbstfahrende Arbeitsmaschinen bis 20km/h (z.B. Aufsitzrasenmäher ,nein,ja,ja,ja,ja,ja,A.2.9.8
Geliehene Sachen & fremde Schlüssel,,,,,,,
Schäden an geliehenen und gemieteten Sachen,nein,nein,"10,000 €",(VS),VS,VS,A.2.10.5
Schlüsselverlust Beruf (z.B. Schule),nein,nein,"50,000 €","100,000 €",100.000 €,VS,A.2.11.16
"Schlüsselverlust Ehrenamt (z.B. Sportstätten, Kirchengemeinden)",nein,nein,"50,000 €","100,000 €",100.000 €,VS,A.2.11.16
Freizeit & Hobby,,,,,,,
"Fußball, Fahrrad, Ski und weitere Sportarten",VS,VS,VS,VS,VS,VS,A.2.9.9
Drohnen fliegen (Steuern von Flugmodellen mit Motor),nein,nein,VS (bis 5kg),VS (bis 5kg),VS (bis 5kg),VS (bis 5kg),A.2.11.8
Steuern von Flugmodellen ohne Motor (z.B. Ballone und Drachen),nein,nein,VS (bis 5kg),VS (bis 5kg),VS (bis 5kg),VS (bis 5kg),A.2.11.8
"Fahren von Schlauchbooten, Ruderbooten und anderen Wasserfahrzeugen ohne Motor",VS,VS,VS,VS,VS,VS,A.2.9.9d
Surfen (eigenes Brett),nein,VS,VS,VS,VS,VS,A.2.9.9
Surfen (geliehenes Brett),nein,VS,VS,VS,VS,VS,A.2.9.9
Segeln (eigenes Boot),nein,nein,VS,VS,VS,VS,A.2.11.9b
Segeln (geliehenes Boot),nein,nein,VS,VS,VS,VS,A.2.11.9a
Motorboot fahren (eigenes Boot),nein,nein,"VS (15 PS, keine Führerscheinpflicht)","VS (15 PS, keine Führerscheinpflicht)","VS (15 PS, keine Führerscheinpflicht)","VS (15 PS, keine Führerscheinpflicht)",A.2.11.9c
Motorboot fahren (fremdes Boot),nein,VS (Soweit nur gelegentlich gebraucht und für das Führen keine behördliche Erlaubnis erforderlich ist),"VS (15 PS, keine Führerscheinpflicht)","VS (15 PS, keine Führerscheinpflicht)","VS (15 PS, keine Führerscheinpflicht)","VS (15 PS, keine Führerscheinpflicht)",A.2.9.9a
Kite-Sport,nein,VS,VS,VS,VS,VS,A.2.9.9
Steuern von Modellfahrzeugen (Land & Wasser),VS,VS,VS,VS,VS,VS,A.2.8.15
Schäden durch Internetnutzung,,,,,,,
In Europa geltend gemachte Schäden,1 Mio. €,VS,1 Mio. €,VS,1 Mio. €,VS,A.2.10.1
Außerhalb Europas geltend gemachte Schäden,1 Mio. €,nein,1 Mio. €,nein,1 Mio. €,VS (außer USA & Kanada),A.2.10.1
Tiere,,,,,,,
Hüten fremder Hunde,VS,VS,VS,VS,VS,VS,A.2.9.10.b
Hüten fremder Pferde,VS,VS,VS,VS,VS,VS,A.2.9.10.b
Reiten fremder Pferde und Kutschfahrten,VS,VS,VS,VS,VS,VS,A.2.9.10.a
"Haltung zahmer Haustiere (z.B. Vögel oder Katzen, keine Hunde)",VS,VS,VS,VS,VS,VS,A.2.9.10.c
"Erlaubte Haltung wilder Kleintiere (z.B. Spinnen, Skorpione, Schlangen)",nein,nein,nein,VS,VS,VS,A.2.11.10a
Blinden- oder Behindertenbegleithund versichert,nein,nein,nein,nein,VS,VS,A.2.12.13
Mieter-Schutz,,,,,,,
Schlüsselverlust Mietwohnung/-haus,nein,nein,"50,000 €","100,000 €","100,000 €","100,000 €",A.2.11.16
Gemietete Räume (Mietsachschäden),"500,000 €","500,000 €",VS,VS,VS,VS,A.2.10.5
Gemietete Gebäude,"500,000 €","500,000 €",VS,VS,VS,VS,A.2.10.5
Gemietete Einrichtung (z.B. in Hotels und Ferienwohnungen),VS (Außer Schäden wegen Schimmel),VS (Außer Schäden wegen Schimmel),25.000 €,VS,VS,VS,A.2.10.5
Allmählichkeitsschäden,VS (Außer Schäden wegen Schimmel),VS (Außer Schäden wegen Schimmel),VS,VS,VS,VS,A.2.10.5
Mieten einer Ferienwohnung im Ausland,nein,nein,VS,VS,VS,VS,A.2.11.6
Eigentümer-Schutz,,,,,,,
Selbst genutztes Einfamilienhaus oder Wohnung,VS,VS,VS,VS,VS,VS,A.2.9.6
Selbstbewohnte eigene oder gemietete Immobilien Ausland,nein,nein,Nur Europa,Nur Europa,Nur Europa,Nur Europa,A2.11.7
Heizöltanks bis zu einem Fassungsvermögen von,nein,nein,VS (10.000l),VS (10.000l),VS (10.000l),VS (10.000l),A.2.11.12
Betrieb einer Photovoltaikanlage,VS (bis 10 kwp),VS (bis 10 kwp),VS (bis 10 kwp),VS (bis 10 kwp),VS (bis 10 kwp),VS,A.2.9.7
Bauherrenrisiko bis zu einer Bausumme von,nein,"50,000 €",50.000 €,"100,000 €",100.000 €,"200,000 €",A.2.11.7d
Unbebautes Grundstück bis zu einer Fläche von 10.000m2,nein,nein,100000 qm,VS,"100,000 €",VS,A.2.11.7a
Vermieter-Schutz,,,,,,,
Vermietung einer Wohnung,nein,nein,VS (nur im selbst bewohnten Zweifamilienaus),VS (nur im selbst bewohnten Zweifamilienaus),VS (nur im selbst bewohnten Zweifamilienaus),VS (DE),A.2.11.7e
Vermietung eines Ferienhauses in Deutschland,nein,nein,VS,VS,VS,VS,A.2.12.11
Vermietung eines Ferienhauses im Ausland,nein,nein,nein,VS (nur Europa),VS,VS (nur Europa),A.2.11.7e
Sonstiges,,,,,,,
Häusliche Abwässer,VS,VS,VS,VS,VS,VS,
Lagerung gewässerschädigender Substanzen,1 Mio. € (Gewässerschäden bis VS),1 Mio. € (Gewässerschäden bis VS),1 Mio. € (Gewässerschäden bis VS),1 Mio. € (Gewässerschäden bis VS),1 Mio. € ,VS,A.2.11.12b
Gewässerschadenhaftpflicht,nein,nein,VS,VS,VS,VS,A.2.11.12
Kleingebinde,VS (10000l),VS (10000l),VS (10000l),VS (10000l),VS (10000l),VS (10000l),A.2.10.6
Umbaumaßnahmen,nein,nein,"60,000 €","100,000 €","60,000 €","200,000 €",A.2.11.7d
Be- und Entladeschäden,nein,nein,nein,nein,"3.000 €, SB 150,-","10.000 €, SB 150,-",A.2.12.8
Beschädigung von geliehenen medizinischen Geräten,nein,nein,nein,nein,"10.000 €, SB 150,-","10.000 €, SB 150,-",A.2.12.10
Flüssiggastank,bis 3000 l/kg,bis 3000 l/kg,bis 3000 l/kg,bis 3000 l/kg,bis 3000 l/kg,keine Begrenzung,A.2.11.12 & A.2.9.6
SFR-Verlust eines Dritten in Kfz,nein,nein,nein,nein,bis zu 5 Jahre,bis zu 5 Jahre,A.2.12.9a
Betankungsschäden an geliehenen Fahrzeugen,nein,nein,nein,nein,"Limit 2000, SB:150","10.000 €, SB 150,-",A.2.12.9a
,,,,,,,
Leistungsänderung zur aktuellen Version,,,,,,,
