Company,,VHV,,Wefox Comfort AS IS,,Wefox Comfort TO BE,weight,old,new,surcharge,,,
Tariff,,VHV Exclusive Guarantee,,Wefox Comfort,,Wefox Comfort,,,,3.26%,,,wefox better than competitor
Premium,,50.23,,,,,,,,,,,wefox worse than competitor
Performance,,99 / 117,,,,,,,,,,,
Conditions & Additional Information,,,,,,,100.00%,97.08%,100.25%,,,old comfort,new comfort
Sum insured,,,,,,,75.00%,76.50%,78.75%,,old compact,114.78%,118.52%
Personal injury and property damage,,"EUR 50,000,000 flat rate,
max. EUR 15,000,000 per person",,"EUR 25,000,000",,"EUR 50,000,000",60.00%,61.20%,63.00%,,new compact,98.81%,102.04%
Pecuniary loss,,"EUR 50,000,000",,"EUR 25,000,000",,"EUR 50,000,000",10%,10.20%,10.50%,,,,
Rental property damage,,"EUR 50,000,000",,"EUR 25,000,000",,"EUR 50,000,000",5%,5.10%,5.25%,,,,
Deductible in case of damage,,no,,"0, 150, 300, 500, 1,000",,"0, 150, 300, 500, 1,000",,,,,,,
Future performance improvements,2,insured,2,insured,2,insured,,,,,,,
Premium exemption in the event of unemployment,1,also insured up to 12 months,0,not insured,1,also insured up to 12 months,,,,,,,
Insured persons,,,,,,,,,,,,,
Spouse or partner (if living in the household),0,not insured,2,insured,2,insured,,,,,,,
"Children underage, unmarried (including stepchildren, adoptive children and foster children)",0,not insured,2,insured,2,insured,,,,,,,
"Children of legal age, unmarried, during their school education, vocational training, civil service or basic military service",0,not insured,2,insured,2,insured,,,,,,,
Single parent living in the household,0,not insured,2,insured,2,insured,,,,,,,
Domestic workers in the course of their work (damage to third parties),2,insured,2,insured,2,insured,,,,,,,
Claims for recourse by social insurance carriers against the policyholder of co-insured persons,2,insured,2,insured,2,insured,,,,,,,
Insured activities,,,,,,,5%,3%,5%,,,,
"Childminder, unpaid work",2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
"Childminder, also paid work",2,insured,0,not insured,2,insured,0.8%,0.0%,0.8%,,,,
Courtesy damages (if you help someone and break something in the process),2,insured,0,not insured,2,insured,0.8%,0.0%,0.8%,,,,
Practical training (laboratory work),2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
Internships,2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
Voluntary work,2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
Other performance inclusions,,,,,,,6%,6%,3%,,,,
Incapacitated children,0,not insured,2,insured,2,insured,1%,1%,1%,,,,
Default cover (loss of receivables) - Bad debt coverage,2,insured,2,insured,2,insured,2%,2%,2%,,,,
Legal protection for default coverage,1,"also insured from 2,500
EUR damage amount",1,"insured, max €150,000",1,"insured, max €150,000",1%,1%,0,,,,
"Rented, borrowed things",2,insured,2,insured,2,insured,2%,2%,0,,,,
Lost key,,,,,,,2.5%,2.5%,2.0%,,,,
Lost key of your own keys for owner-occupied residential property,0,not insured,0,not insured,0,not insured,,,,,,,
"Lost key, someone else's private key (rented apartment)",2,"also insured up to EUR
50,000,000",1,"also insured up to EUR
100,000",1,"also insured up to EUR
50,000,000",,,,,,,
