,Parameter Name / Coverages & Assistances,German Label,English Label,Reference to T&C,Compact  - Eco,,,,Comfort,,,,,"what's covered, what's not",Switch Tarif - Wechseltarif,,,
,,,,,Limit,Deductible,German Label,English Label,Limit,Deductible,German Label,English Label,Default,,Limit,Deductible,German Label,English Label
"Kfz-Haftpflichtversicherung (KH)  
/ Car Liability ",car.coverage.personal-injury,"Versicherungssumme für Personenschäden (je geschädigter Person)
",Personal Injury, A.1.3.1,8.000.000 €,0,bis zu 8.000.000 €,up to 8.000.000 €,15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €,,"ja
(Personen und Sachschäden zusammen) ",15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €
,car.coverage.property-damage,"Versicherungssumme bei Sach-, Vermögensschäden",Property Damage,A.1.3.1,100.000.000 €,0,bis zu 100.000.000 €,up to 100.000.000 €,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €,,,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €
,car.coverage.extended-car-rental-protection-personal-injury,Erweiterter Mietwagenschutz im Ausland (Mallorca Police) für Personenschäden,Extended Car Rental Protection - Personal Injury,A.1.1.6,8.000.000 €,0,bis zu 8.000.000 €,up to 8.000.000 €,15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €,,"ja
Mallorca Police  für Personen und Sachschaden",15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €
,car.coverage.extended-car-rental-protection-property-damage,Erweiterter Mietwagenschutz im Ausland (Mallorca Police) für Sach- und Vermögensschäden,Extended Car Rental Protection - Property damage,A.1.1.6,100.000.000 €,0,bis zu 100.000.000 €,up to 100.000.000 €,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €,,,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €
,car.coverage.first-party-damage-coverage,Eigenschadendeckung,first party damage,A.1.5.6,-,0,nicht enthalten,not included,100.000 €,500€,bis zu 100.000 € mit Werkstattbindung,up to 100.000 € with garage binding,,ja,100.000 €,500€,bis zu 100.000 € mit Werkstattbindung,up to 100.000 € with garage binding
,car.coverage.discount-protection,"Rabattschutz, inklusive Schäden, die durch deliktunfähige Kinder verursacht wurden",discount protection,I.5.2,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no,ja,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.driver-protection,Fahrerschutzversicherung,driver protection,"Aufnehmen, falls nicht zu viel Aufwand",-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,ja,-,-,nicht enthalten,not included
,car.coverage.abroad-protection,Auslandschadenschutz (Grüne Karte),abroad protection,A.1.4.1,100.000.000 €,0,"geografisches Europa und EU, 
bis zu 100.000.000 €","geographical Europe and EU, up to 100.000.000 €",100.000.000 €,-,"geografisches Europa und EU, 
bis zu 100.000.000 €","geographical Europe and EU, up to 100.000.000 €",,ja,100.000.000 €,-,"geografisches Europa und EU, 
bis zu 100.000.000 €","geographical Europe and EU, up to 100.000.000 €"
